,graph 1,graph 2,precision,recall,F-score
0,w2v w2,CLICS,0.0091,0.0091,0.0091
1,w2v w2,EAT,0.0202,0.0203,0.0202
2,w2v w2,sense,0.0283,0.0283,0.0283
3,w2v w5,CLICS,0.0112,0.0112,0.0112
4,w2v w5,EAT,0.0241,0.0243,0.0242
5,w2v w5,sense,0.0344,0.0344,0.0344
6,CLICS,EAT,0.0871,0.0892,0.0882
7,CLICS,sense,0.0641,0.0641,0.0641
8,EAT,sense,0.0636,0.0627,0.0631
