,test set,gold set,B-cubed score,pairwise evaluation score,assortativity,adjusted rand coefficient,spearman correlation,spearman p-value
0,w2v,CLICS,0.5199,0.0058,0.0061,0.0067,0.0531,0.0188
1,w2v,EAT,0.3636,0.0131,0.0003,0.0015,0.0826,0.0002
2,w2v,sense,0.2992,0.0278,0.0175,0.0053,0.0359,0.1283
3,CLICS,EAT,0.446,0.0876,0.1157,0.06,0.5545,0.0
4,CLICS,sense,0.4959,0.0644,0.1528,0.0719,0.2531,0.0
5,EAT,sense,0.0914,0.0645,0.1378,0.0109,0.2132,0.0
