Word	Concepticon_ID	Concepticon_Gloss	POS	Similarity
doctor	597	PHYSICIAN	noun	19
three	492	THREE	numeral	19
before	1882	BEFORE	other	19
holy	1702	HOLY	adjective	19
old	1229	OLD	adjective	19
tide	891	TIDE	noun	19
thin	2308	THIN	adjective	19
lip	478	LIP	noun	19
white	1335	WHITE	adjective	19
line	1048	LINE	noun	19
talk	2708	TALK	verb	19
you	1213	YOU	other	19
same	200	SAME	other	19
great	1202	BIG	adjective	19
bosom	1402	BREAST	noun	19
head	1256	HEAD	noun	19
home	2406	HOME	noun	19
few	1242	FEW	other	19
business	2931	BUSINESS	noun	19
catch	702	CATCH	verb	19
bad	1292	BAD	adjective	19
love	923	LOVE	verb	19
pain	1783	PAIN	noun	19
age	1789	AGE	noun	19
if	1459	IF	other	19
pleasure	2524	JOY	noun	19
hard	1884	HARD	adjective	19
shut	1046	SHUT	verb	19
vein	1924	VEIN	noun	19
truth	1638	TRUTH	noun	19
hot	1286	HOT	adjective	19
fire	221	FIRE	noun	19
live	1422	BE ALIVE	verb	19
sacrifice	1103	SACRIFICE	noun	19
disturb	2883	DISTURB	verb	19
work	1086	WORK (ACTIVITY)	verb	19
hope	1092	HOPE	verb	19
four	1500	FOUR	numeral	19
why	1270	WHY	other	19
deep	1593	DEEP	adjective	19
water	948	WATER	noun	19
wine	1524	WINE	noun	19
third	1859	THIRD	other	19
answer	1275	ANSWER	verb	19
side	682	SIDE	noun	19
pass	1951	PASS	verb	19
forget	1523	FORGET	verb	19
like	1117	LIKE	verb	19
teacher	1038	TEACHER	noun	19
see	1409	SEE	verb	19
once	374	ONE TIME	other	19
part	779	PART	noun	19
look	1819	LOOK	verb	19
life	210	LIFE	noun	19
child	2099	CHILD	noun	19
full	1429	FULL	adjective	19
lie	1411	LIE (REST)	verb	19
outside	762	OUTSIDE	other	19
boy	1366	BOY	noun	19
go	695	GO	verb	19
permit	1003	PERMIT	verb	19
long	1203	LONG	adjective	19
will	1579	BE	verb	19
lame	320	LAME	adjective	19
next	1354	NEXT	other	19
place	723	PLACE (POSITION)	noun	19
far	1406	FAR	adjective	19
through	97	THROUGH	other	19
summit	1614	SUMMIT	noun	19
happen	248	HAPPEN	verb	19
where	1237	WHERE	other	19
together	2482	TOGETHER	other	19
worship	257	WORSHIP	verb	19
tradition	1747	CUSTOM	noun	19
street	1362	STREET	noun	19
nation	789	PEOPLE	noun	19
meet	1831	MEET	verb	19
carry	700	CARRY	verb	19
grass	606	GRASS	noun	19
root	670	ROOT	noun	19
top	1753	TOP	noun	19
low	721	LOW	adjective	19
true	1657	TRUE	adjective	19
god	3231	DEITY	noun	19
gather	7	GATHER	verb	19
share	884	SHARE	verb	19
common	102	COMMON COLD (DISEASE)	noun	19
idea	1609	IDEA	noun	19
mistake	1293	MISTAKE	noun	19
sacred	1702	HOLY	adjective	19
faith	1890	BELIEVE	verb	19
fall	1280	FALL	verb	19
below	1485	BELOW OR UNDER	other	19
body	1480	BODY	noun	19
nearby	1942	NEAR	adjective	19
alone	1964	ALONE	adjective	19
second	1384	SECOND	other	19
glass	604	GLASS	noun	19
distant	1406	FAR	adjective	19
keep	1477	KEEP	verb	19
large	1202	BIG	adjective	19
eye	1248	EYE	noun	19
town	1391	TOWN	noun	19
escape	1615	ESCAPE	verb	19
she	1834	SHE	other	19
east	1877	EAST	noun	19
south	1595	SOUTH	noun	19
nothing	687	NOTHING	other	19
lead	43	LEAD (GUIDE)	verb	19
family	194	FAMILY	noun	19
pour	1487	POUR	verb	19
gap	2948	GAP (DISTANCE)	noun	19
grow	479	GROW	verb	19
number	1356	NUMBER	noun	19
beautiful	1427	BEAUTIFUL	adjective	19
music	642	MUSIC	noun	19
woman	962	WOMAN	noun	19
under	1485	BELOW OR UNDER	other	19
heavy	1210	HEAVY	adjective	19
sick	1847	SICK	adjective	19
help	1897	HELP	verb	19
draw	2001	PAINTING	verb	19
