('1763', '2546', 0.9718366265296936)
('1763', '1281', 0.9712247252464294)
('1541', '952', 0.9712439179420471)
('663', '834', 0.9730633497238159)
('663', '644', 0.9709683060646057)
('663', '772', 0.9700666666030884)
('663', '224', 0.9714038968086243)
('663', '2819', 0.9704642295837402)
('663', '2974', 0.978394091129303)
('663', '617', 0.9743831753730774)
('655', '1539', 0.9741337895393372)
('1227', '1561', 0.9775022268295288)
('1620', '1217', 0.9714038372039795)
('1217', '1200', 0.9789055585861206)
('1330', '2214', 0.9809754490852356)
('1326', '1567', 0.9720224142074585)
('1371', '1346', 0.9783477187156677)
('1371', '1482', 0.9805617928504944)
('1371', '1821', 0.9797975420951843)
('1371', '1221', 0.9839600920677185)
('1371', '870', 0.9700159430503845)
('1371', '2871', 0.9727749824523926)
('1371', '674', 0.9845536947250366)
('1371', '799', 0.9827261567115784)
('1371', '1404', 0.9724944829940796)
('1371', '1476', 0.9701271057128906)
('1371', '1730', 0.9751725196838379)
('1371', '1333', 0.9854747653007507)
('1371', '344', 0.9797955751419067)
('1839', '754', 0.9782488346099854)
('1839', '1585', 0.9706297516822815)
('1839', '1355', 0.9700408577919006)
('680', '741', 0.9701926708221436)
('680', '1829', 0.9777284264564514)
('1735', '1821', 0.9726160168647766)
('1735', '123', 0.9713575839996338)
('1942', '2876', 0.970198929309845)
('2546', '705', 0.9717485308647156)
('2546', '1598', 0.9790913462638855)
('2546', '292', 0.9700610041618347)
('2546', '628', 0.9722169637680054)
('2546', '1313', 0.9753634929656982)
('1232', '1821', 0.9741955399513245)
('1232', '2468', 0.9708445072174072)
('1232', '704', 0.9780368804931641)
('1232', '175', 0.9729565978050232)
('1232', '855', 0.9865708351135254)
('1232', '2932', 0.9700310230255127)
('1232', '1470', 0.972756028175354)
('1686', '1816', 0.9728458523750305)
('1443', '1416', 0.9792073369026184)
('1109', '713', 0.9713777303695679)
('1109', '1394', 0.98012775182724)
('1109', '1220', 0.9776685833930969)
('1109', '1381', 0.9706400632858276)
('1109', '1719', 0.9756473302841187)
('1456', '1454', 0.9789095520973206)
('1456', '1452', 0.9766868352890015)
('1456', '1455', 0.9765738248825073)
('1456', '175', 0.9726573824882507)
('1303', '1346', 0.9839353561401367)
('1303', '1851', 0.9724153280258179)
('1303', '1221', 0.9721882343292236)
('1303', '1297', 0.9717965126037598)
('1346', '1482', 0.9701296091079712)
('1346', '1221', 0.9816969037055969)
('1346', '674', 0.9750829339027405)
('1346', '344', 0.9704940915107727)
('887', '379', 0.9701490998268127)
('887', '1066', 0.9741348028182983)
('887', '2937', 0.9742069244384766)
('887', '652', 0.9822290539741516)
('887', '191', 0.97066730260849)
('887', '195', 0.9791549444198608)
('1234', '2014', 0.9704456925392151)
('1234', '1402', 0.9746977686882019)
